id,conName,start_date,end_date,year,event_location,city,state,state_abrev,country,website
95,"Eckman's Card, Comic & Toy Show ",2024-01-20,2024-01-20,2024,San Antonio Shrine Auditorium,San Antonio,Texas,TX,USA,https://eckmanstoyshow.com/
96,Panama City Mini Con ,2024-01-20,2024-01-20,2024,Bay County Fairgrounds,Panama City,Florida,FL,USA,panamacitycomics.godaddysites.com/
97,QuadCon Brookfield ,2024-01-20,2024-01-21,2024,Brookfield Square Mall,Brookfield,Wisconsin,WI,USA,https://quadcitycon.com/
98,Festival de la Bande Dessinée d’Angoulême,2024-01-25,2024-01-28,2024,Various Locations,Angoulême,---,---,France,www.bdangouleme.com/
99,Original Arts Expo ,2024-01-26,2024-01-28,2024,DoubleTree Hotel at the Entrance to Universal,Orlando,Florida,FL,USA,https://www.oax.art
100,FrankfortCon - Winter ,2024-01-27,2024-01-27,2024,Capital Plaza Hotel,Frankfort,Kentucky,KY,USA,http://frankfortcomiccon.com/
101,QuadCon Columbia ,2024-01-27,2024-01-28,2024,Columbia Mall,Columbia,Missouri,MO,USA,https://quadcitycon.com/
102,"Sports Card, Comic Book, Pokemon & Collectibles Expo ",2024-01-27,2024-01-28,2024,Virginia Beach Fieldhouse,Virginia Beach,Virginia,VA,USA,757cardshows.com/
103,MegaCon Orlando ,2027-05-20,2027-05-23,2027,Orange County Convention Center,Orlando,Florida,FL,USA,https://fanexpohq.com/megaconorlando/
104,LumaCon ,2024-02-03,2024-02-03,2024,Petaluma Community Center,Petaluma,California,CA,USA,www.lumacon.net/
105,TulsaPopCon ,2024-02-03,2024-02-03,2024,DoubleTree Hotel at Warren Place,Tulsa,Oklahoma,OK,USA,tulsapopcon.com/
106,East Bay Comic-Con ,2024-02-04,2024-02-04,2024,Concord Hotel - Walnut Creek,Concord,California,CA,USA,https://eastbaycomiccon.com/
107,MissouriCon ,2024-02-10,2024-02-10,2024,Holiday Inn - Downtown Conv Center,St. Louis,Missouri,MO,USA,http://www.missouricon.com/
108,QuadCon Cedar Rapids ,2024-02-10,2024-02-10,2024,DoubleTree at Convention Complex,Cedar Rapids,Iowa,IA,USA,https://quadcitycon.com/
109,ConVoluted Con Cruise ,2024-02-10,2024-02-15,2024,Carnival Paradise,Departing from Tampa,Florida,FL,USA,www.facebook.com/groups/1967851583441155
110,Beyond Comicon ,2024-02-17,2024-02-17,2024,Marjorie and William McDonald Center,North Miami Beach,Florida,FL,USA,beyondcomicon.com/
111,Cosmic Con NY ,2024-02-17,2024-02-18,2024,Tangram,Queens,New York,NY,USA,https://cosmicconny.com/
112,QuadCon Peoria ,2024-02-17,2024-02-18,2024,Northwoods Mall,Peoria,Illinois,IL,USA,https://quadcitycon.com/
113,Fan Expo Vancouver ,2027-02-13,2027-02-15,2027,Vancouver Convention Centre,Vancouver,British Columbia,BC,Canada,https://fanexpohq.com/fanexpovancouver/
114,Imagi-Con ,2024-02-24,2024-02-24,2024,Tupper Lightfoot Memorial Library,Brundidge,Alabama,AL,USA,https://www.tupperlightfootbrundidgelib.org/401/login.php?redirect=/imagicon.html
115,Happy Valley Comic & Collectibles Convention ,2024-02-24,2024-02-25,2024,Nittany Valley Sports Centre,State College,Pennsylvania,PA,USA,https://happyvalleycomiccon.com/
116,Texoma Comic Con ,2024-02-24,2024-02-25,2024,Choctaw Event Center,Durant,Oklahoma,OK,USA,www.texomacomiccon.com/
117,Khroma Kon ,2024-03-01,2024-03-03,2024,Hilton at Inner Harbor,Baltimore,Maryland,MD,USA,https://varanasilocaltours.com/chitrakoot/
118,Middle East Film and Comic Con ,2026-09-11,2026-09-13,2026,Abu Dhabi National Exhibition Centre (ADNEC),Abu Dhabi,---,---,UAE,https://www.mefcc.com/home/
119,PeoriaCon ,2024-03-02,2024-03-03,2024,Peoria Civic Center,Peoria,Illinois,IL,USA,www.peoriacon.com/
120,UI-Con ,2024-03-02,2024-03-03,2024,Illini Union,Urbana,Illinois,IL,USA,https://www.ui-con.org/
121,QuadCon Omaha ,2024-03-02,2024-03-04,2024,Oak View Mall,Omaha,Nebraska,NE,USA,https://quadcitycon.com/
122,SW-FloridaCon ,2024-03-03,2024-03-03,2024,DoubleTree at Bell Tower Shops,Fort Myers,Florida,FL,USA,http://swfloridacomiccon.com/
123,Power Comicon ,2024-03-04,2024-03-04,2024,Florence Center,Florence,South Carolina,SC,USA,www.powercomicon.com/
124,Comic Conroe ,2024-03-08,2024-03-10,2024,The Lone Star Convention & Expo Center,Conroe,Texas,TX,USA,https://comicconroe.com/
