row_number,row_id,original_name,original_website,source_used,fetch_status,confidence,fields_updated,fields_left_unknown,old_values,new_values,warnings,notes,timestamp_utc
113,113,Fan Expo Vancouver,fanexpohq.com/fanexpovancouver/,website,ok,HIGH,start_date;end_date;year;website,,"{""end_date"": ""February 19"", ""start_date"": ""February 17"", ""website"": ""fanexpohq.com/fanexpovancouver/"", ""year"": ""2024""}","{""end_date"": ""2027-02-15"", ""start_date"": ""2027-02-13"", ""website"": ""https://fanexpohq.com/fanexpovancouver/"", ""year"": ""2027""}",event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:07
114,114,Imagi-Con,www.tupperlightfootbrundidgelib.org/imagicon.html,website,ok,HIGH,website,,"{""website"": ""www.tupperlightfootbrundidgelib.org/imagicon.html""}","{""website"": ""https://www.tupperlightfootbrundidgelib.org/401/login.php?redirect=/imagicon.html""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:08
115,115,Happy Valley Comic & Collectibles Convention,happyvalleycomiccon.com/,website,ok,HIGH,website,,"{""website"": ""happyvalleycomiccon.com/""}","{""website"": ""https://happyvalleycomiccon.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:09
116,116,Texoma Comic Con,www.texomacomiccon.com/,website,ok,NONE,,,{},{},Visible page text: Vague/ambiguous date detected ('Coming Soon'). | Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:51:10
117,117,Khroma Kon,khromakon.com/,website,ok,HIGH,website,,"{""website"": ""khromakon.com/""}","{""website"": ""https://varanasilocaltours.com/chitrakoot/""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:12
118,118,Middle East Film and Comic Con,www.mefcc.com/home/,website,ok,HIGH,start_date;end_date;year;country;website,,"{""country"": ""United Arab Emirates"", ""end_date"": ""March 3"", ""start_date"": ""March 1"", ""website"": ""www.mefcc.com/home/"", ""year"": ""2024""}","{""country"": ""UAE"", ""end_date"": ""2026-09-13"", ""start_date"": ""2026-09-11"", ""website"": ""https://www.mefcc.com/home/"", ""year"": ""2026""}",event_location: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence,,2026-05-08T16:51:13
119,119,PeoriaCon,www.peoriacon.com/,website,ok,NONE,,,{},{},Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:51:14
120,120,UI-Con,www.ui-con.org/,website,ok,HIGH,website,,"{""website"": ""www.ui-con.org/""}","{""website"": ""https://www.ui-con.org/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:16
121,121,QuadCon Omaha,quadcitycon.com/,website,ok,HIGH,website,,"{""website"": ""quadcitycon.com/""}","{""website"": ""https://quadcitycon.com/""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:16
122,122,SW-FloridaCon,swfloridacomiccon.com/,website,partial,HIGH,website,,"{""website"": ""swfloridacomiccon.com/""}","{""website"": ""http://swfloridacomiccon.com/""}",Visible page text: Vague/ambiguous date detected ('Coming Soon'). | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:21
123,123,Power Comicon,www.powercomicon.com/,website,ok,NONE,,,{},{},start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:51:23
